"","seed","Group","chem","beta_lasso","mean","se","number_nonzero"
"86",5,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"87",5,"mPFD","1,2,3,4,6,7,8-hxcdf",0,0.000812445079317047,0.000192221485691723,71
"88",5,"Non-Ortho PCBs","PCB 126",0.010321264063308,0.010731540842584,5.24662956248506e-05,100
"89",5,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"90",5,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"91",6,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"92",6,"Non-Dioxin-like PCBs","PCB 99",0.00137096222544985,0.00207883006469387,0.000103872062126573,100
"93",6,"mPFD","PCB 118",0.00339259251451403,0.00417413751941203,0.00015889455616173,100
"94",6,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"95",6,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"96",6,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"97",6,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"98",6,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"99",6,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"100",6,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"101",6,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"102",6,"mPFD","2,3,4,7,8-pncdf",0.0220294215174968,0.022785687851283,9.85868262387431e-05,100
"103",6,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"104",6,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"105",6,"mPFD","1,2,3,4,6,7,8-hxcdf",0,0.000812445079317047,0.000192221485691723,71
"106",6,"Non-Ortho PCBs","PCB 126",0.010321264063308,0.010731540842584,5.24662956248506e-05,100
"107",6,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"108",6,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"109",7,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"110",7,"Non-Dioxin-like PCBs","PCB 99",0.0057703939762776,0.00207883006469387,0.000103872062126573,100
"111",7,"mPFD","PCB 118",0.0116580335230132,0.00417413751941203,0.00015889455616173,100
"112",7,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"113",7,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"114",7,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"115",7,"Non-Dioxin-like PCBs","PCB 180",-0.0114378726056154,-0.00041873331822929,0.000201748781189617,5
"116",7,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"117",7,"mPFD","1,2,3,6,7,8-hxcdd",-7.06894430175379e-05,-1.41378886035076e-06,9.94637887211316e-07,2
"118",7,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"119",7,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.0123287491328118,-0.000793342774437702,0.000258429964777081,11
"120",7,"mPFD","2,3,4,7,8-pncdf",0.0257283567986394,0.022785687851283,9.85868262387431e-05,100
"121",7,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"122",7,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"123",7,"mPFD","1,2,3,4,6,7,8-hxcdf",0.00867036345688709,0.000812445079317047,0.000192221485691723,71
"124",7,"Non-Ortho PCBs","PCB 126",0.0117671496986866,0.010731540842584,5.24662956248506e-05,100
"125",7,"Non-Ortho PCBs","PCB 169",0.0101893681687442,0.000500002439143377,0.000189547658862809,11
"126",7,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"127",8,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"128",8,"Non-Dioxin-like PCBs","PCB 99",0.00137096222544985,0.00207883006469387,0.000103872062126573,100
"129",8,"mPFD","PCB 118",0.00339259251451403,0.00417413751941203,0.00015889455616173,100
"130",8,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"131",8,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"132",8,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"133",8,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"134",8,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"135",8,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"136",8,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"137",8,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"138",8,"mPFD","2,3,4,7,8-pncdf",0.0220294215174968,0.022785687851283,9.85868262387431e-05,100
"139",8,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"140",8,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"141",8,"mPFD","1,2,3,4,6,7,8-hxcdf",0,0.000812445079317047,0.000192221485691723,71
"142",8,"Non-Ortho PCBs","PCB 126",0.010321264063308,0.010731540842584,5.24662956248506e-05,100
