seed,variable,mean_weight
3,LBXF05LA,2.457941890523942e-7
4,LBXF03LA,0.362296477870319
4,LBX099LA,0.21251607631781796
4,LBXHXCLA,0.06760694424403178
4,LBX194LA,0.05865865303857679
4,LBXF04LA,0.05862295903977836
4,LBXD03LA,0.050674479570246116
4,LBXF08LA,0.05060491517937479
4,LBX074LA,0.05011115293852389
4,LBXF05LA,0.04619362508983906
4,LBX118LA,0.01887076614223513
4,LBX138LA,0.012276352688404251
4,LBXPCBLA,0.008478430833565009
4,LBX187LA,0.0015070793593686986
4,LBXD05LA,9.405841796131676e-4
4,LBX170LA,6.4043981321814e-4
4,LBX180LA,5.029352063754287e-7
4,LBX153LA,3.7067735810406645e-7
4,LBXD07LA,1.9008252310762762e-7
5,LBX099LA,0.30102353052657876
5,LBXPCBLA,0.2718578100249712
5,LBXF03LA,0.17124314524733136
5,LBXHXCLA,0.07063063435515092
5,LBXF08LA,0.06151582328225155
5,LBX118LA,0.04602827175710026
5,LBX194LA,0.02782101160943574
5,LBXF04LA,0.012818216526320857
5,LBXF05LA,0.012154926578371939
5,LBXD07LA,0.01034448735984487
5,LBXD05LA,0.003930822240735272
5,LBX074LA,0.0035281591689502994
5,LBXD03LA,0.0032855810194394202
5,LBX138LA,0.0015644545322096057
5,LBX153LA,0.0012313379604645819
5,LBX187LA,0.0010208310165007058
5,LBX170LA,4.947334881776173e-7
5,LBX180LA,4.6206085431972066e-7
6,LBXF03LA,0.3291817497925631
6,LBXF08LA,0.18999356186923672
6,LBXD05LA,0.1233374929861017
6,LBX118LA,0.09681455825310775
6,LBXHXCLA,0.07120374603954166
6,LBX099LA,0.04950001165178293
6,LBX074LA,0.026060471078619793
6,LBX138LA,0.02475629277380329
6,LBXD03LA,0.02425389588107985
6,LBXF05LA,0.021291583333702287
6,LBXPCBLA,0.016716465586135272
6,LBX153LA,0.015384164915570289
6,LBX187LA,0.006037796037987287
6,LBX180LA,0.0030495281191198283
6,LBXD07LA,0.002417872108365248
6,LBX170LA,5.228572666511379e-7
6,LBX194LA,1.7733622042888436e-7
6,LBXF04LA,1.0937979720311528e-7
7,LBXF03LA,0.31119907812600733
7,LBXPCBLA,0.266537270760652
7,LBXHXCLA,0.11221421700815898
7,LBX099LA,0.08635671092053378
7,LBX118LA,0.04938585535296346
7,LBXD03LA,0.035728725239811486
7,LBXF08LA,0.03406657603741353
7,LBX074LA,0.031731040990378774
7,LBXF04LA,0.016869850640513422
7,LBX138LA,0.016682483561352098
7,LBXF05LA,0.01658379082774966
7,LBX194LA,0.0074359586950683365
7,LBXD07LA,0.0041196921437779786
7,LBX153LA,0.003908410580898049
7,LBX170LA,0.003192139930512482
7,LBX187LA,0.0022498992960963728
7,LBXD05LA,0.0017379588276389196
7,LBX180LA,3.410604740226381e-7
8,LBXF03LA,0.5261054345511944
8,LBX194LA,0.11248687508613382
8,LBXF08LA,0.08040605973039346
8,LBXF04LA,0.04825035844408241
8,LBXD07LA,0.03422542497165432
8,LBX099LA,0.03351805114692632
8,LBXPCBLA,0.032983713945048065
8,LBXF05LA,0.03123466707705993
8,LBX118LA,0.028571471680741437
8,LBX187LA,0.02606688185714453
8,LBXD03LA,0.009207739343310288
8,LBX074LA,0.008606278617261796
8,LBXHXCLA,0.00755315149780429
8,LBX153LA,0.007377095248059658
8,LBXD05LA,0.006717393712668778
8,LBX138LA,0.0035817016328504427
8,LBX170LA,0.003107242542166356
8,LBX180LA,4.5891549962370155e-7
9,LBXHXCLA,0.3042818197614013
9,LBXF08LA,0.14678471720873174
9,LBXF03LA,0.1180524751922635
9,LBXD03LA,0.07756470345405089
9,LBX118LA,0.07579926429506623
9,LBXF04LA,0.05653704476810813
9,LBX138LA,0.049500311965243994
9,LBXF05LA,0.03967748320352943
9,LBX074LA,0.03823942304239434
9,LBX099LA,0.025910110713510973
9,LBXPCBLA,0.025755960663488616
9,LBXD05LA,0.0235493561998528
9,LBX194LA,0.0060975825151700774
9,LBX153LA,0.005176924583936199
9,LBX170LA,0.004414090356075872
9,LBX180LA,0.0018141407437365568
9,LBXD07LA,8.443633673833087e-4
9,LBX187LA,2.279660561518616e-7
10,LBXF03LA,0.24783754816645992
10,LBXPCBLA,0.18607873395452385
10,LBX118LA,0.13956311038283875
10,LBX153LA,0.07227142531325213
10,LBXHXCLA,0.06948551415909086
10,LBX099LA,0.04694859074605964
10,LBXF08LA,0.045602377110580364
10,LBX138LA,0.03410798263145878
10,LBX187LA,0.028794358342342025
10,LBX194LA,0.02614031565662073
10,LBXF05LA,0.022027627330976463
10,LBXD03LA,0.02116114293394712
10,LBXD05LA,0.01924067777140093
10,LBX170LA,0.013093726459175968
10,LBXF04LA,0.011886765456844368
10,LBXD07LA,0.011343465492539288
10,LBX180LA,0.002289461520582508
10,LBX074LA,0.0021271765713057355
11,LBXPCBLA,0.2783560969816373
11,LBXF03LA,0.1879056975454594
11,LBXHXCLA,0.1587917937748856
11,LBXF08LA,0.12626101174817447
11,LBXF04LA,0.08318987731793517
11,LBX099LA,0.0590831068560231
11,LBX194LA,0.02575810314997953
11,LBXD03LA,0.023475704778266868
11,LBX118LA,0.016775810384839735
11,LBXD07LA,0.012242510781570215
11,LBXD05LA,0.0083884694689482
11,LBX187LA,0.00812421079981774
11,LBXF05LA,0.004115423040003767
11,LBX180LA,0.0033703239704579698
11,LBX138LA,0.0021591565889071468
11,LBX074LA,0.001955274035038151
11,LBX153LA,4.6751542790486935e-5
11,LBX170LA,6.772352653517289e-7
