seed,variable,mean_weight
386,LBXF03LA,0.45594844792068745
386,LBXPCBLA,0.1255397223044875
386,LBXHXCLA,0.11557891506213398
386,LBXF08LA,0.08880160590472698
386,LBX099LA,0.06127671837879017
386,LBXD03LA,0.05205976011188992
386,LBXF04LA,0.025982126359818634
386,LBXF05LA,0.019302837702596116
386,LBXD07LA,0.015333133208778509
386,LBX194LA,0.013765469742848155
386,LBX074LA,0.013504530190979783
386,LBX187LA,0.0049982897846483606
386,LBXD05LA,0.0033780515567824448
386,LBX118LA,0.0024954887102987705
386,LBX138LA,0.0016892729882937072
386,LBX170LA,2.2746610705063125e-4
386,LBX180LA,1.179094483035006e-4
386,LBX153LA,2.5451688652645216e-7
734,LBXPCBLA,0.16874337776355744
734,LBXF03LA,0.1529623306874522
734,LBXHXCLA,0.11373987906316621
734,LBXF05LA,0.10129664465562715
734,LBX099LA,0.09147700937627998
734,LBXF04LA,0.09104796326188984
734,LBXD05LA,0.07221260061229938
734,LBX194LA,0.07088410787066336
734,LBX118LA,0.05953001106173317
734,LBX187LA,0.04495392100950478
734,LBXD07LA,0.012162091770451917
734,LBX153LA,0.010617547351210626
734,LBXF08LA,0.005564705478177961
734,LBX170LA,0.0038150434987280443
734,LBXD03LA,5.468817748765131e-4
734,LBX074LA,4.448267321799697e-4
734,LBX180LA,5.364005560858676e-7
734,LBX138LA,5.21631645528134e-7
550,LBXF08LA,0.325554761263944
550,LBXF03LA,0.24493571549911927
550,LBXPCBLA,0.17058438419207683
550,LBX099LA,0.15378047093957758
550,LBX074LA,0.022076903674774877
550,LBXD03LA,0.01128499373836962
550,LBXF05LA,0.01088276467263736
550,LBXF04LA,0.010232654747715668
550,LBXD05LA,0.009657278703909727
550,LBXD07LA,0.0088026133916742
550,LBX153LA,0.008130805894026427
550,LBX138LA,0.0072106403873436215
550,LBX118LA,0.006909554311020749
550,LBX170LA,0.003872512001215009
550,LBXHXCLA,0.003452514827074023
550,LBX194LA,0.0015177840100488945
550,LBX187LA,0.0011131169001222716
550,LBX180LA,5.308453494182329e-7
503,LBXF03LA,0.45495725440934565
